Year,#,Category,Nominee,Additional Info,Won?,Race,Multi-Racial?,Dynamic,Stereotype,Restricted Race Role,Helps main white pratagonist in their journey
1952,25th,Actor -- Supporting Role,Victor McLaglen,The Quiet Man {'Red Will Danaher'},NO,White,,,,,
1952,25th,Actor -- Supporting Role,Jack Palance,Sudden Fear {'Lester Blaine'},NO,White,,,,,
1952,25th,Actor -- Supporting Role,Anthony Quinn,Viva Zapata! {'Eufemio Zapata'},YES,Hispanic,,,,,
1952,25th,Actress -- Leading Role,Shirley Booth,"Come Back, Little Sheba {'Lola Delaney'}",YES,White,,,,,
1952,25th,Actress -- Leading Role,Joan Crawford,Sudden Fear {'Myra Hudson'},NO,White,,,,,
1952,25th,Actress -- Leading Role,Bette Davis,The Star {'Margaret Elliot'},NO,White,,,,,
1952,25th,Actress -- Leading Role,Julie Harris,The Member of the Wedding {'Frankie Addams'},NO,White,,,,,
1952,25th,Actress -- Leading Role,Susan Hayward,With a Song in My Heart {'Jane Froman'},NO,White,,,,,
1952,25th,Actress -- Supporting Role,Gloria Grahame,The Bad and the Beautiful {'Rosemary Bartlow'},YES,White,,,,,
1952,25th,Actress -- Supporting Role,Jean Hagen,Singin' in the Rain {'Lina Lamont'},NO,White,,,,,
1952,25th,Actress -- Supporting Role,Colette Marchand,Moulin Rouge {'Marie Charlet'},NO,White,,,,,
1952,25th,Actress -- Supporting Role,Terry Moore,"Come Back, Little Sheba {'Marie Loring'}",NO,White,,,,,
1952,25th,Actress -- Supporting Role,Thelma Ritter,With a Song in My Heart {'Clancy'},NO,White,,,,,
1951,24th,Actor -- Leading Role,Humphrey Bogart,The African Queen {'Charlie Allnut'},YES,White,,,,,
1951,24th,Actor -- Leading Role,Marlon Brando,A Streetcar Named Desire {'Stanley Kowalski'},NO,White,,,,,
1951,24th,Actor -- Leading Role,Montgomery Clift,A Place in the Sun {'George Eastman'},NO,White,,,,,
1951,24th,Actor -- Leading Role,Arthur Kennedy,Bright Victory {'Larry Levins'},NO,White,,,,,
1951,24th,Actor -- Leading Role,Fredric March,Death of a Salesman {'Willy Loman'},NO,White,,,,,
1951,24th,Actor -- Supporting Role,Leo Genn,Quo Vadis {'Petronius'},NO,White,,,,,
1951,24th,Actor -- Supporting Role,Kevin McCarthy,Death of a Salesman {'Biff Loman'},NO,White,,,,,
1951,24th,Actor -- Supporting Role,Karl Malden,A Streetcar Named Desire {'Mitch'},YES,White,,,,,
1951,24th,Actor -- Supporting Role,Peter Ustinov,Quo Vadis {'Nero'},NO,White,,,,,
1951,24th,Actor -- Supporting Role,Gig Young,Come Fill the Cup {'Boyd Copeland'},NO,White,,,,,
1951,24th,Actress -- Leading Role,Katharine Hepburn,The African Queen {'Rose Sayer'},NO,White,,,,,
1951,24th,Actress -- Leading Role,Vivien Leigh,A Streetcar Named Desire {'Blanche DuBois'},YES,White,,,,,
1951,24th,Actress -- Leading Role,Eleanor Parker,Detective Story {'Mary McLeod'},NO,White,,,,,
1951,24th,Actress -- Leading Role,Shelley Winters,A Place in the Sun {'Alice Tripp'},NO,White,,,,,
1951,24th,Actress -- Leading Role,Jane Wyman,The Blue Veil {'Louise Mason'},NO,White,,,,,
1951,24th,Actress -- Supporting Role,Joan Blondell,The Blue Veil {'Annie Rawlins'},NO,White,,,,,
1951,24th,Actress -- Supporting Role,Mildred Dunnock,Death of a Salesman {'Linda Loman'},NO,White,,,,,
1951,24th,Actress -- Supporting Role,Lee Grant,Detective Story {'A Shoplifter'},NO,White,,,,,
1951,24th,Actress -- Supporting Role,Kim Hunter,A Streetcar Named Desire {'Stella Kowalski'},YES,White,,,,,
1951,24th,Actress -- Supporting Role,Thelma Ritter,The Mating Season {'Ellen McNulty'},NO,White,,,,,
1950,23rd,Actor -- Leading Role,Louis Calhern,The Magnificent Yankee {'Oliver Wendell Holmes'},NO,White,,,,,
1950,23rd,Actor -- Leading Role,José Ferrer,Cyrano de Bergerac {'Cyrano de Bergerac'},YES,Hispanic,,,,,
1950,23rd,Actor -- Leading Role,William Holden,Sunset Blvd. {'Joe Gillis'},NO,White,,,,,
1950,23rd,Actor -- Leading Role,James Stewart,Harvey {'Elwood P. Dowd'},NO,White,,,,,
1950,23rd,Actor -- Leading Role,Spencer Tracy,Father of the Bride {'Stanley T. Banks'},NO,White,,,,,
1950,23rd,Actor -- Supporting Role,Jeff Chandler,Broken Arrow {'Cochise'},NO,White,,,,,
1950,23rd,Actor -- Supporting Role,Edmund Gwenn,Mister 880 {'Skipper Miller'},NO,White,,,,,
1950,23rd,Actor -- Supporting Role,Sam Jaffe,The Asphalt Jungle {'Dr. Erwin Riedenschneider'},NO,White,,,,,
1950,23rd,Actor -- Supporting Role,George Sanders,All about Eve {'Addison De Witt'},YES,White,,,,,
1950,23rd,Actor -- Supporting Role,Erich von Stroheim,Sunset Blvd. {'Max Von Mayerling'},NO,White,,,,,
1950,23rd,Actress -- Leading Role,Anne Baxter,All about Eve {'Eve Harrington'},NO,White,,,,,
1950,23rd,Actress -- Leading Role,Bette Davis,All about Eve {'Margo Channing'},NO,White,,,,,
1950,23rd,Actress -- Leading Role,Judy Holliday,Born Yesterday {'Billie Dawn'},YES,White,,,,,
1950,23rd,Actress -- Leading Role,Eleanor Parker,Caged {'Marie Allen'},NO,White,,,,,
1950,23rd,Actress -- Leading Role,Gloria Swanson,Sunset Blvd. {'Norma Desmond'},NO,White,,,,,
1950,23rd,Actress -- Supporting Role,Hope Emerson,Caged {'Evelyn Harper'},NO,White,,,,,
1950,23rd,Actress -- Supporting Role,Celeste Holm,All about Eve {'Karen Richards'},NO,White,,,,,
1950,23rd,Actress -- Supporting Role,Josephine Hull,Harvey {'Veta Louise Simmons'},YES,White,,,,,
1950,23rd,Actress -- Supporting Role,Nancy Olson,Sunset Blvd. {'Betty Schaefer'},NO,White,,,,,
1950,23rd,Actress -- Supporting Role,Thelma Ritter,All about Eve {'Birdie'},NO,White,,,,,
1949,22nd,Actor -- Leading Role,Broderick Crawford,All the King's Men {'Willie Stark'},YES,White,,,,,
1949,22nd,Actor -- Leading Role,Kirk Douglas,Champion {'Midge Kelly'},NO,White,,,,,
1949,22nd,Actor -- Leading Role,Gregory Peck,Twelve O'Clock High {'General Savage'},NO,White,,,,,
1949,22nd,Actor -- Leading Role,Richard Todd,The Hasty Heart {'Lachie'},NO,White,,,,,
1949,22nd,Actor -- Leading Role,John Wayne,Sands of Iwo Jima {'Sergeant John M. Stryker'},NO,White,,,,,
1949,22nd,Actor -- Supporting Role,John Ireland,All the King's Men {'Jack Burden'},NO,White,,,,,
1949,22nd,Actor -- Supporting Role,Dean Jagger,Twelve O'Clock High {'Major Stovall'},YES,White,,,,,
1949,22nd,Actor -- Supporting Role,Arthur Kennedy,Champion {'Connie Kelly'},NO,White,,,,,
1949,22nd,Actor -- Supporting Role,Ralph Richardson,The Heiress {'Dr. Austin Sloper'},NO,White,,,,,
1949,22nd,Actor -- Supporting Role,James Whitmore,Battleground {'Kinnie'},NO,White,,,,,
1949,22nd,Actress -- Leading Role,Jeanne Crain,Pinky {'Pinky'},NO,White,,,,,
1949,22nd,Actress -- Leading Role,Olivia de Havilland,The Heiress {'Catherine Sloper'},YES,White,,,,,
1949,22nd,Actress -- Leading Role,Susan Hayward,My Foolish Heart {'Eloise Winters'},NO,White,,,,,
1949,22nd,Actress -- Leading Role,Deborah Kerr,"Edward, My Son {'Evelyn Boult'}",NO,White,,,,,
1949,22nd,Actress -- Leading Role,Loretta Young,Come to the Stable {'Sister Margaret'},NO,White,,,,,
1949,22nd,Actress -- Supporting Role,Ethel Barrymore,Pinky {'Miss Em'},NO,White,,,,,
1949,22nd,Actress -- Supporting Role,Celeste Holm,Come to the Stable {'Sister Scholastica'},NO,White,,,,,
1949,22nd,Actress -- Supporting Role,Elsa Lanchester,Come to the Stable {'Miss Potts'},NO,White,,,,,
1949,22nd,Actress -- Supporting Role,Mercedes McCambridge,All the King's Men {'Sadie Burke'},YES,White,,,,,
1949,22nd,Actress -- Supporting Role,Ethel Waters,Pinky {'Granny'},NO,Black,,,,,
1949,22nd,Acting (other),"To Bobby Driscoll, as the outstanding juvenile actor of 1949.",,YES,White,,,,,
1948,21st,Actor -- Leading Role,Lew Ayres,Johnny Belinda {'Dr. Robert Richardson'},NO,White,,,,,
1948,21st,Actor -- Leading Role,Montgomery Clift,The Search {'Ralph Stevenson'},NO,White,,,,,
1948,21st,Actor -- Leading Role,Dan Dailey,When My Baby Smiles at Me {'Skid'},NO,White,,,,,
1948,21st,Actor -- Leading Role,Laurence Olivier,Hamlet {'Hamlet'},YES,White,,,,,
1948,21st,Actor -- Leading Role,Clifton Webb,Sitting Pretty {'Lynn Belvedere'},NO,White,,,,,
1948,21st,Actor -- Supporting Role,Charles Bickford,Johnny Belinda {'Black McDonald'},NO,White,,,,,
1948,21st,Actor -- Supporting Role,José Ferrer,"Joan of Arc {'The Dauphin, Charles VIII'}",NO,Hispanic,,,,,
1948,21st,Actor -- Supporting Role,Oscar Homolka,I Remember Mama {'Uncle Chris'},NO,White,,,,,
1948,21st,Actor -- Supporting Role,Walter Huston,The Treasure of the Sierra Madre {'Howard'},YES,White,,,,,
1948,21st,Actor -- Supporting Role,Cecil Kellaway,The Luck of the Irish {'Horace'},NO,White,,,,,
1948,21st,Actress -- Leading Role,Ingrid Bergman,Joan of Arc {'Joan of Arc'},NO,White,,,,,
1948,21st,Actress -- Leading Role,Olivia de Havilland,The Snake Pit {'Virginia Stuart Cunningham'},NO,White,,,,,
1948,21st,Actress -- Leading Role,Irene Dunne,I Remember Mama {'Mama'},NO,White,,,,,
1948,21st,Actress -- Leading Role,Barbara Stanwyck,"Sorry, Wrong Number {'Leona Stevenson'}",NO,White,,,,,
1948,21st,Actress -- Leading Role,Jane Wyman,Johnny Belinda {'Belinda McDonald'},YES,White,,,,,
1948,21st,Actress -- Supporting Role,Barbara Bel Geddes,I Remember Mama {'Katrin'},NO,White,,,,,
1948,21st,Actress -- Supporting Role,Ellen Corby,I Remember Mama {'Aunt Trina'},NO,White,,,,,
1948,21st,Actress -- Supporting Role,Agnes Moorehead,Johnny Belinda {'Aggie McDonald'},NO,White,,,,,
1948,21st,Actress -- Supporting Role,Jean Simmons,Hamlet {'Ophelia'},NO,White,,,,,
1948,21st,Actress -- Supporting Role,Claire Trevor,Key Largo {'Gaye'},YES,White,,,,,
1948,21st,Acting (other),"To Ivan Jandl, for the outstanding juvenile performance of 1948, as Karel Malik"" in The Search.""",,YES,White,,,,,
1947,20th,Actor -- Leading Role,Ronald Colman,A Double Life {'Anthony John'},YES,White,,,,,
1947,20th,Actor -- Leading Role,John Garfield,Body and Soul {'Charlie Davis'},NO,White,,,,,
1947,20th,Actor -- Leading Role,Gregory Peck,Gentleman's Agreement {'Phil Green'},NO,White,,,,,
1947,20th,Actor -- Leading Role,William Powell,Life with Father {'Clarence Day'},NO,White,,,,,
1947,20th,Actor -- Leading Role,Michael Redgrave,Mourning Becomes Electra {'Orin Mannon'},NO,White,,,,,
1947,20th,Actor -- Supporting Role,Charles Bickford,The Farmer's Daughter {'Clancy'},NO,White,,,,,
1947,20th,Actor -- Supporting Role,Thomas Gomez,Ride the Pink Horse {'Pancho'},NO,Hispanic,,,,,
1947,20th,Actor -- Supporting Role,Edmund Gwenn,Miracle on 34th Street {'Kris Kringle'},YES,White,,,,,
1947,20th,Actor -- Supporting Role,Robert Ryan,Crossfire {'Montgomery'},NO,White,,,,,
1947,20th,Actor -- Supporting Role,Richard Widmark,Kiss of Death {'Tommy Udo'},NO,White,,,,,
1947,20th,Actress -- Leading Role,Joan Crawford,Possessed {'Louise Howell'},NO,White,,,,,
1947,20th,Actress -- Leading Role,Susan Hayward,Smash-Up--The Story of a Woman {'Angie'},NO,White,,,,,
1947,20th,Actress -- Leading Role,Dorothy McGuire,Gentleman's Agreement {'Kathy'},NO,White,,,,,
1947,20th,Actress -- Leading Role,Rosalind Russell,Mourning Becomes Electra {'Lavinia Mannon'},NO,White,,,,,
1947,20th,Actress -- Leading Role,Loretta Young,The Farmer's Daughter {'Katrin Holstrom'},YES,White,,,,,
1947,20th,Actress -- Supporting Role,Ethel Barrymore,The Paradine Case {'Lady Sophie Horfield'},NO,White,,,,,
1947,20th,Actress -- Supporting Role,Gloria Grahame,Crossfire {'Ginny Tremaine'},NO,White,,,,,
1947,20th,Actress -- Supporting Role,Celeste Holm,Gentleman's Agreement {'Anne'},YES,White,,,,,
1947,20th,Actress -- Supporting Role,Marjorie Main,The Egg and I {'Ma Kettle'},NO,White,,,,,
1947,20th,Actress -- Supporting Role,Anne Revere,Gentleman's Agreement {'Mrs. Green'},NO,White,,,,,
1947,20th,Acting (other),"To James Baskett for his able and heart-warming characterization of Uncle Remus, friend and story teller to the children of the world in Walt Disney's Song of the South.",,YES,White,,,,,
1946,19th,Actor -- Leading Role,Fredric March,The Best Years of Our Lives {'Al Stephenson'},YES,White,,,,,
1946,19th,Actor -- Leading Role,Laurence Olivier,Henry V {'Henry V'},NO,White,,,,,
1946,19th,Actor -- Leading Role,Larry Parks,The Jolson Story {'Al Jolson'},NO,White,,,,,
1946,19th,Actor -- Leading Role,Gregory Peck,The Yearling {'Pa Baxter'},NO,White,,,,,
1946,19th,Actor -- Leading Role,James Stewart,It's a Wonderful Life {'George Bailey'},NO,White,,,,,
1946,19th,Actor -- Supporting Role,Charles Coburn,The Green Years {'Alexander Gow'},NO,White,,,,,
1946,19th,Actor -- Supporting Role,William Demarest,The Jolson Story {'Steve Martin'},NO,White,,,,,
1946,19th,Actor -- Supporting Role,Claude Rains,Notorious {'Alexander Sebastian'},NO,White,,,,,
1946,19th,Actor -- Supporting Role,Harold Russell,The Best Years of Our Lives {'Homer Parrish'},YES,White,,,,,
1946,19th,Actor -- Supporting Role,Clifton Webb,The Razor's Edge {'Elliott Templeton'},NO,White,,,,,
1946,19th,Actress -- Leading Role,Olivia de Havilland,To Each His Own {'Jody Norris'},YES,White,,,,,
1946,19th,Actress -- Leading Role,Celia Johnson,Brief Encounter {'Laura Jesson'},NO,White,,,,,
1946,19th,Actress -- Leading Role,Jennifer Jones,Duel in the Sun {'Pearl Chavez'},NO,White,,,,,
1946,19th,Actress -- Leading Role,Rosalind Russell,Sister Kenny {'Elizabeth Kenny'},NO,White,,,,,
1946,19th,Actress -- Leading Role,Jane Wyman,The Yearling {'Ma Baxter'},NO,White,,,,,
1946,19th,Actress -- Supporting Role,Ethel Barrymore,The Spiral Staircase {'Mrs. Warren'},NO,White,,,,,
1946,19th,Actress -- Supporting Role,Anne Baxter,The Razor's Edge {'Sophie MacDonald'},YES,White,,,,,
1946,19th,Actress -- Supporting Role,Lillian Gish,Duel in the Sun {'Belle McCanles'},NO,White,,,,,
1946,19th,Actress -- Supporting Role,Flora Robson,Saratoga Trunk {'Angelique Buiton'},NO,White,,,,,
1946,19th,Actress -- Supporting Role,Gale Sondergaard,Anna and the King of Siam {'Lady Thiang'},NO,White,,,,,
1946,19th,Acting (other),To Harold Russell for bringing hope and courage to his fellow veterans through his appearance in The Best Years of Our Lives.,,YES,White,,,,,
1946,19th,Acting (other),"To Claude Jarman, Jr., outstanding child actor of 1946.",,YES,White,,,,,
1945,18th,Actor -- Leading Role,Bing Crosby,The Bells of St. Mary's {'Father O'Malley'},NO,White,,,,,
1945,18th,Actor -- Leading Role,Gene Kelly,Anchors Aweigh {'Joseph Brady'},NO,White,,,,,
1945,18th,Actor -- Leading Role,Ray Milland,The Lost Weekend {'Don Birnam'},YES,White,,,,,
1945,18th,Actor -- Leading Role,Gregory Peck,The Keys of the Kingdom {'Father Francis Chisholm'},NO,White,,,,,
1945,18th,Actor -- Leading Role,Cornel Wilde,A Song to Remember {'Frederick Chopin'},NO,White,,,,,
1945,18th,Actor -- Supporting Role,Michael Chekhov,Spellbound {'Dr. Alex Brulov'},NO,White,,,,,
1945,18th,Actor -- Supporting Role,John Dall,The Corn Is Green {'Morgan Evans'},NO,White,,,,,
1945,18th,Actor -- Supporting Role,James Dunn,A Tree Grows in Brooklyn {'Johnny Nolan'},YES,White,,,,,
1945,18th,Actor -- Supporting Role,Robert Mitchum,G. I. Joe {'Lieutenant Walker'},NO,White,,,,,
1945,18th,Actor -- Supporting Role,J. Carrol Naish,A Medal for Benny {'Charlie Martini'},NO,White,,,,,
1945,18th,Actress -- Leading Role,Ingrid Bergman,The Bells of St. Mary's {'Sister Benedict'},NO,White,,,,,
1945,18th,Actress -- Leading Role,Joan Crawford,Mildred Pierce {'Mildred Pierce'},YES,White,,,,,
1945,18th,Actress -- Leading Role,Greer Garson,The Valley of Decision {'Mary Rafferty'},NO,White,,,,,
1945,18th,Actress -- Leading Role,Jennifer Jones,Love Letters {'Singleton'},NO,White,,,,,
1945,18th,Actress -- Leading Role,Gene Tierney,Leave Her to Heaven {'Ellen Berent'},NO,White,,,,,
1945,18th,Actress -- Supporting Role,Eve Arden,Mildred Pierce {'Ida'},NO,White,,,,,
1945,18th,Actress -- Supporting Role,Ann Blyth,Mildred Pierce {'Veda Pierce'},NO,White,,,,,
1945,18th,Actress -- Supporting Role,Angela Lansbury,The Picture of Dorian Gray {'Sibyl Vane'},NO,White,,,,,
1945,18th,Actress -- Supporting Role,Joan Lorring,The Corn Is Green {'Bessie Watty'},NO,White,,,,,
1945,18th,Actress -- Supporting Role,Anne Revere,National Velvet {'Mrs. Brown'},YES,White,,,,,
1945,18th,Acting (other),"To Peggy Ann Garner, outstanding child actress of 1945.",,YES,White,,,,,
1944,17th,Actor -- Leading Role,Charles Boyer,Gaslight {'Gregory Anton'},NO,White,,,,,
1944,17th,Actor -- Leading Role,Bing Crosby,Going My Way {'Father O'Malley'},YES,White,,,,,
1944,17th,Actor -- Leading Role,Barry Fitzgerald,Going My Way {'Father Fitzgibbon'},NO,White,,,,,
1944,17th,Actor -- Leading Role,Cary Grant,None but the Lonely Heart {'Ernie Mott'},NO,White,,,,,
1944,17th,Actor -- Leading Role,Alexander Knox,Wilson {'Woodrow Wilson'},NO,White,,,,,
1944,17th,Actor -- Supporting Role,Hume Cronyn,The Seventh Cross {'Paul Roeder'},NO,White,,,,,
1944,17th,Actor -- Supporting Role,Barry Fitzgerald,Going My Way {'Father Fitzgibbon'},YES,White,,,,,
1944,17th,Actor -- Supporting Role,Claude Rains,Mr. Skeffington {'Job Skeffington'},NO,White,,,,,
1944,17th,Actor -- Supporting Role,Clifton Webb,Laura {'Waldo Lydecker'},NO,White,,,,,
1944,17th,Actor -- Supporting Role,Monty Woolley,Since You Went Away {'Colonel Smollett'},NO,White,,,,,
1944,17th,Actress -- Leading Role,Ingrid Bergman,Gaslight {'Paula Alquist'},YES,White,,,,,
1944,17th,Actress -- Leading Role,Claudette Colbert,Since You Went Away {'Anne Hilton'},NO,White,,,,,
1944,17th,Actress -- Leading Role,Bette Davis,Mr. Skeffington {'Fanny Trellis Skeffington'},NO,White,,,,,
1944,17th,Actress -- Leading Role,Greer Garson,Mrs. Parkington {'Susie Parkington'},NO,White,,,,,
1944,17th,Actress -- Leading Role,Barbara Stanwyck,Double Indemnity {'Phyllis Dietrichson'},NO,White,,,,,
1944,17th,Actress -- Supporting Role,Ethel Barrymore,None but the Lonely Heart {'Ma Mott'},YES,White,,,,,
1944,17th,Actress -- Supporting Role,Jennifer Jones,Since You Went Away {'Jane Hilton'},NO,White,,,,,
1944,17th,Actress -- Supporting Role,Angela Lansbury,Gaslight {'Nancy Oliver'},NO,White,,,,,
1944,17th,Actress -- Supporting Role,Aline MacMahon,Dragon Seed {'Ling's Wife'},NO,White,,,,,
1944,17th,Actress -- Supporting Role,Agnes Moorehead,Mrs. Parkington {'Aspacia Conti'},NO,White,,,,,
1944,17th,Acting (other),"To Margaret O'Brien, outstanding child actress of 1944.",,YES,White,,,,,
1943,16th,Actor -- Leading Role,Humphrey Bogart,Casablanca {'Rick Blane'},NO,White,,,,,
1943,16th,Actor -- Leading Role,Gary Cooper,For Whom the Bell Tolls {'Robert Jordan'},NO,White,,,,,
1943,16th,Actor -- Leading Role,Paul Lukas,Watch on the Rhine {'Kurt Muller'},YES,White,,,,,
1943,16th,Actor -- Leading Role,Walter Pidgeon,Madame Curie {'Pierre Curie'},NO,White,,,,,
1943,16th,Actor -- Leading Role,Mickey Rooney,The Human Comedy {'Homer Macauley'},NO,White,,,,,
1943,16th,Actor -- Supporting Role,Charles Bickford,The Song of Bernadette {'Dean Peyramale'},NO,White,,,,,
1943,16th,Actor -- Supporting Role,Charles Coburn,The More the Merrier {'Benjamin Dingle'},YES,White,,,,,
1943,16th,Actor -- Supporting Role,J. Carrol Naish,Sahara {'Giuseppe'},NO,White,,,,,
1943,16th,Actor -- Supporting Role,Claude Rains,Casablanca {'Captain Louis Renault'},NO,White,,,,,
1943,16th,Actor -- Supporting Role,Akim Tamiroff,For Whom the Bell Tolls {'Pablo'},NO,White,,,,,
1943,16th,Actress -- Leading Role,Jean Arthur,The More the Merrier {'Connie Milligan'},NO,White,,,,,
1943,16th,Actress -- Leading Role,Ingrid Bergman,For Whom the Bell Tolls {'Maria'},NO,White,,,,,
1943,16th,Actress -- Leading Role,Joan Fontaine,The Constant Nymph {'Teresa 'Tessa' Sanger'},NO,White,,,,,
1943,16th,Actress -- Leading Role,Greer Garson,Madame Curie {'Madame Marie Curie'},NO,White,,,,,
1943,16th,Actress -- Leading Role,Jennifer Jones,The Song of Bernadette {'Bernadette Soubirous'},YES,White,,,,,
1943,16th,Actress -- Supporting Role,Gladys Cooper,The Song of Bernadette {'Sister Vauzous'},NO,White,,,,,
1943,16th,Actress -- Supporting Role,Paulette Goddard,So Proudly We Hail! {'Lieutenant Joan O'Doul'},NO,White,,,,,
1943,16th,Actress -- Supporting Role,Katina Paxinou,For Whom the Bell Tolls {'Pilar'},YES,White,,,,,
1943,16th,Actress -- Supporting Role,Anne Revere,The Song of Bernadette {'Louise Soubirous'},NO,White,,,,,
1943,16th,Actress -- Supporting Role,Lucile Watson,Watch on the Rhine {'Fanny Farrelly'},NO,White,,,,,
1942,15th,Actor -- Leading Role,James Cagney,Yankee Doodle Dandy {'George M. Cohan'},YES,White,,,,,
1942,15th,Actor -- Leading Role,Ronald Colman,Random Harvest {'Charles Ranier'},NO,White,,,,,
1942,15th,Actor -- Leading Role,Gary Cooper,The Pride of the Yankees {'Lou Gehrig'},NO,White,,,,,
1942,15th,Actor -- Leading Role,Walter Pidgeon,Mrs. Miniver {'Clem Miniver'},NO,White,,,,,
1942,15th,Actor -- Leading Role,Monty Woolley,The Pied Piper {'Howard'},NO,White,,,,,
1942,15th,Actor -- Supporting Role,William Bendix,Wake Island {'Smacksie Randall'},NO,White,,,,,
1942,15th,Actor -- Supporting Role,Van Heflin,Johnny Eager {'Jeff Hartnett'},YES,White,,,,,
1942,15th,Actor -- Supporting Role,Walter Huston,Yankee Doodle Dandy {'Jerry Cohan'},NO,White,,,,,
1942,15th,Actor -- Supporting Role,Frank Morgan,Tortilla Flat {'The Pirate'},NO,White,,,,,
1942,15th,Actor -- Supporting Role,Henry Travers,Mrs. Miniver {'Mr. Ballard'},NO,White,,,,,
1942,15th,Actress -- Leading Role,Bette Davis,"Now, Voyager {'Charlotte Vale'}",NO,White,,,,,
1942,15th,Actress -- Leading Role,Greer Garson,Mrs. Miniver {'Kay Miniver'},YES,White,,,,,
1942,15th,Actress -- Leading Role,Katharine Hepburn,Woman of the Year {'Tess Harding'},NO,White,,,,,
1942,15th,Actress -- Leading Role,Rosalind Russell,My Sister Eileen {'Ruth Sherwood'},NO,White,,,,,
1942,15th,Actress -- Leading Role,Teresa Wright,The Pride of the Yankees {'Eleanor Gehrig'},NO,White,,,,,
1942,15th,Actress -- Supporting Role,Gladys Cooper,"Now, Voyager {'Mrs. Vale'}",NO,White,,,,,
1942,15th,Actress -- Supporting Role,Agnes Moorehead,The Magnificent Ambersons {'Fanny Minafer'},NO,White,,,,,
1942,15th,Actress -- Supporting Role,Susan Peters,Random Harvest {'Kitty'},NO,White,,,,,
1942,15th,Actress -- Supporting Role,Dame May Whitty,Mrs. Miniver {'Lady Beldon'},NO,White,,,,,
1942,15th,Actress -- Supporting Role,Teresa Wright,Mrs. Miniver {'Carol Beldon'},YES,White,,,,,
1941,14th,Actor -- Leading Role,Gary Cooper,Sergeant York {'Alvin C. York'},YES,White,,,,,
1941,14th,Actor -- Leading Role,Cary Grant,Penny Serenade {'Roger Adams'},NO,White,,,,,
1941,14th,Actor -- Leading Role,Walter Huston,All That Money Can Buy {'Mr. Scratch'},NO,White,,,,,
1941,14th,Actor -- Leading Role,Robert Montgomery,Here Comes Mr. Jordan {'Joe Pendleton'},NO,White,,,,,
1941,14th,Actor -- Leading Role,Orson Welles,Citizen Kane {'Charles Foster Kane'},NO,White,,,,,
1941,14th,Actor -- Supporting Role,Walter Brennan,Sergeant York {'Pastor Posier Pile'},NO,White,,,,,
1941,14th,Actor -- Supporting Role,Charles Coburn,The Devil and Miss Jones {'John P. Merrick'},NO,White,,,,,
1941,14th,Actor -- Supporting Role,Donald Crisp,How Green Was My Valley {'Mr. Morgan'},YES,White,,,,,
1941,14th,Actor -- Supporting Role,James Gleason,Here Comes Mr. Jordan {'Max Corkle'},NO,White,,,,,
1941,14th,Actor -- Supporting Role,Sydney Greenstreet,The Maltese Falcon {'Kaspar Gutman'},NO,White,,,,,
1941,14th,Actress -- Leading Role,Bette Davis,The Little Foxes {'Regina Hubbard Giddens'},NO,White,,,,,
1941,14th,Actress -- Leading Role,Olivia de Havilland,Hold Back the Dawn {'Emmy Brown'},NO,White,,,,,
1941,14th,Actress -- Leading Role,Joan Fontaine,Suspicion {'Lina McLaidlaw'},YES,White,,,,,
1941,14th,Actress -- Leading Role,Greer Garson,Blossoms in the Dust {'Edna Gladney'},NO,White,,,,,
1941,14th,Actress -- Leading Role,Barbara Stanwyck,Ball of Fire {'Sugarpuss O'Shea'},NO,White,,,,,
1941,14th,Actress -- Supporting Role,Sara Allgood,How Green Was My Valley {'Mrs. Morgan'},NO,White,,,,,
1941,14th,Actress -- Supporting Role,Mary Astor,The Great Lie {'Sandra Kovak'},YES,White,,,,,
1941,14th,Actress -- Supporting Role,Patricia Collinge,The Little Foxes {'Birdie Hubbard'},NO,White,,,,,
1941,14th,Actress -- Supporting Role,Teresa Wright,The Little Foxes {'Alexandra Giddens'},NO,White,,,,,
1941,14th,Actress -- Supporting Role,Margaret Wycherly,Sergeant York {'Mother York'},NO,White,,,,,
1940,13th,Actor -- Leading Role,Charles Chaplin,"The Great Dictator {'Hynkel, Dictator of Tomania'}",NO,White,,,,,
1940,13th,Actor -- Leading Role,Henry Fonda,The Grapes of Wrath {'Tom Joad'},NO,White,,,,,
1940,13th,Actor -- Leading Role,Raymond Massey,Abe Lincoln in Illinois {'Abraham Lincoln'},NO,White,,,,,
1940,13th,Actor -- Leading Role,Laurence Olivier,Rebecca {'Maxim de Winter'},NO,White,,,,,
1940,13th,Actor -- Leading Role,James Stewart,The Philadelphia Story {'Mike Connor'},YES,White,,,,,
1940,13th,Actor -- Supporting Role,Albert Basserman,Foreign Correspondent {'Van Meer'},NO,White,,,,,
1940,13th,Actor -- Supporting Role,Walter Brennan,The Westerner {'Judge Roy Bean'},YES,White,,,,,
1940,13th,Actor -- Supporting Role,William Gargan,"They Knew What They Wanted {'Joe, the Foreman'}",NO,White,,,,,
1940,13th,Actor -- Supporting Role,Jack Oakie,"The Great Dictator {'Napaloni, Dictator of Bacteria'}",NO,White,,,,,
1940,13th,Actor -- Supporting Role,James Stephenson,The Letter {'Howard Joyce'},NO,White,,,,,
1940,13th,Actress -- Leading Role,Bette Davis,The Letter {'Leslie Crosbie'},NO,White,,,,,
1940,13th,Actress -- Leading Role,Joan Fontaine,Rebecca {'Mrs. de Winter'},NO,White,,,,,
